iter	Passed	Remaining
0	3	3641
1	7	3572
2	10	3516
3	14	3520
4	17	3430
5	20	3416
6	23	3373
7	27	3364
8	30	3326
9	33	3347
10	37	3331
11	41	3444
12	47	3613
13	50	3577
14	54	3548
15	57	3516
16	60	3513
17	63	3483
18	67	3478
19	70	3449
20	73	3446
21	76	3421
22	80	3411
23	84	3423
24	87	3416
25	91	3413
26	94	3400
27	97	3393
28	101	3389
29	104	3376
30	108	3376
31	112	3400
32	116	3399
33	119	3387
34	122	3387
35	126	3374
36	129	3380
37	133	3367
38	136	3366
39	139	3351
40	143	3355
41	146	3342
42	149	3335
43	152	3323
44	156	3325
45	158	3293
46	161	3282
47	164	3272
48	168	3269
49	170	3243
50	174	3238
51	177	3238
52	181	3238
53	184	3227
54	187	3229
55	192	3242
56	196	3254
57	199	3245
58	204	3261
59	210	3297
60	216	3325
61	219	3317
62	223	3316
63	226	3308
64	229	3297
65	232	3287
66	236	3288
67	239	3279
68	242	3269
69	247	3292
70	251	3284
71	254	3283
72	258	3279
73	261	3274
74	265	3274
75	269	3281
76	277	3321
77	280	3310
78	283	3304
79	287	3303
80	290	3299
81	293	3290
82	297	3286
83	300	3277
84	304	3272
85	307	3266
86	310	3262
87	314	3257
88	317	3251
89	321	3248
90	324	3239
91	327	3231
92	330	3226
93	333	3212
94	335	3200
95	339	3192
96	342	3190
97	345	3178
98	348	3171
99	351	3162
100	354	3157
101	357	3149
102	361	3145
103	363	3135
104	366	3125
105	369	3117
106	372	3110
107	375	3100
108	378	3091
109	381	3086
110	384	3082
111	387	3075
112	390	3068
113	393	3060
114	396	3054
115	400	3050
116	404	3049
117	407	3044
118	410	3038
119	413	3031
120	416	3028
121	420	3026
122	423	3019
123	426	3013
124	429	3004
125	432	2998
126	434	2984
127	437	2981
128	440	2973
129	443	2967
130	446	2961
131	450	2961
132	452	2952
133	455	2945
134	458	2938
135	461	2932
136	464	2924
137	467	2917
138	470	2913
139	473	2907
140	475	2899
141	479	2897
142	482	2890
143	484	2882
144	488	2877
145	491	2872
146	494	2867
147	497	2864
148	500	2861
149	503	2854
150	506	2849
151	509	2843
152	512	2838
153	515	2831
154	518	2825
155	521	2819
156	524	2814
157	526	2808
158	529	2802
159	532	2795
160	535	2792
161	538	2785
162	541	2780
163	543	2772
164	547	2772
165	550	2766
166	554	2765
167	558	2765
168	563	2768
169	566	2764
170	569	2759
171	572	2754
172	576	2755
173	579	2750
174	585	2761
175	588	2755
176	592	2753
177	595	2751
178	599	2748
179	602	2743
180	605	2741
181	608	2735
182	611	2730
183	614	2724
184	617	2718
185	619	2712
186	622	2707
187	625	2701
188	628	2697
189	631	2691
190	634	2687
191	637	2682
192	640	2677
193	643	2673
194	646	2669
195	649	2666
196	653	2662
197	655	2656
198	658	2652
199	661	2646
200	664	2641
201	667	2637
202	670	2631
203	673	2626
204	676	2624
205	680	2622
206	683	2617
207	686	2614
208	689	2608
209	692	2606
210	695	2602
211	700	2602
212	702	2596
213	705	2591
214	708	2586
215	711	2582
216	714	2577
217	717	2572
218	720	2569
219	723	2564
220	726	2560
221	730	2561
222	735	2561
223	738	2559
224	743	2559
225	746	2556
226	749	2553
227	753	2552
228	756	2548
229	759	2543
230	762	2538
231	765	2533
232	769	2534
233	774	2534
234	777	2530
235	780	2525
236	783	2522
237	786	2518
238	789	2513
239	792	2510
240	796	2509
241	799	2505
242	802	2500
243	805	2496
244	808	2491
245	811	2487
246	814	2482
247	816	2476
248	819	2471
249	821	2464
250	824	2461
251	828	2459
252	832	2458
253	835	2455
254	840	2455
255	843	2452
256	846	2448
257	849	2443
258	854	2443
259	858	2442
260	862	2441
261	865	2437
262	870	2438
263	876	2444
264	880	2442
265	883	2439
266	886	2433
267	891	2435
268	894	2430
269	897	2426
270	900	2423
271	903	2419
272	906	2414
273	908	2407
274	911	2403
275	914	2398
276	917	2393
277	920	2389
278	922	2385
279	925	2380
280	928	2376
281	931	2370
282	933	2365
283	936	2361
284	939	2357
285	942	2353
286	945	2349
287	948	2344
288	951	2341
289	954	2336
290	957	2333
291	960	2328
